actor,predicted_class,levels,total_time,mean_time,total_stars,mean_stars
103D4EAB,3ème,12,816.6809999999999,68.05675000000001,31,2.5833333333333335
133323C,5ème,32,4715.0419999999995,56.807734939759044,104,2.888888888888889
1410D322,4ème,11,529.6769999999999,48.152454545454546,28,2.5454545454545454
149C46A2,4ème,18,1290.838,64.5419,51,2.8333333333333335
14A766E2,CM2,29,6139.827,153.495675,74,2.466666666666667
15125659,3ème,35,4125.717000000001,98.23135714285714,97,2.7714285714285714
151257C6,3ème,21,3397.466,75.49924444444444,45,2.142857142857143
1559FD6C,3ème,12,969.969,74.613,21,1.75
15C5892E,CE1,5,130.28199999999998,26.056399999999996,15,3.0
15EF714C,6ème,10,582.408,52.94618181818182,24,2.4
166BAEB8,5ème,8,376.076,37.607600000000005,23,2.875
166BAF55,5ème,8,1270.587,63.52935,20,2.5
169CEF41,5ème,10,412.01800000000003,41.201800000000006,30,3.0
16B3EEB5,4ème,16,1388.5549999999998,42.07742424242424,44,2.75
17B5DE5B,5ème,21,2954.6949999999997,77.75513157894736,61,2.9047619047619047
187EABB8,5ème,36,3387.462,72.07365957446808,100,2.7777777777777777
18E5DC43,4ème,6,138.899,23.149833333333333,18,3.0
19E75F55,3ème,39,3567.1330000000003,68.59871153846153,101,2.58974358974359
1A42C051,4ème,27,2001.022,58.85358823529412,78,2.888888888888889
1A98A89,5ème,27,4168.229,94.73247727272728,68,2.5185185185185186
1AB8A763,3ème,19,1718.02,63.63037037037037,36,1.894736842105263
1AF16B83,5ème,7,359.21799999999996,39.91311111111111,17,2.4285714285714284
1B817423,3ème,19,3138.6820000000002,120.71853846153846,37,1.9473684210526316
1C5A1F42,4ème,7,531.7529999999999,53.17529999999999,20,2.857142857142857
1D22A6F2,5ème,24,3231.0550000000003,60.96330188679245,85,2.8333333333333335
1D22A7B3,5ème,20,3329.603,100.8970606060606,65,2.6
1D22A7D3,5ème,17,3481.8940000000002,91.62878947368422,59,2.8095238095238093
1F9B1F28,3ème,43,3483.334,69.66668,120,2.7906976744186047
1F9B1F8B,3ème,30,4253.066000000001,86.79726530612244,80,2.6666666666666665
1FF0A449,5ème,21,2637.598,65.93995,75,2.586206896551724
204D235A,CE1,42,6446.198,107.43663333333333,126,2.9302325581395348
23DD81C9,4ème,33,3902.188,62.93851612903226,105,2.6923076923076925
2449366E,4ème,23,2998.486,103.39606896551723,100,2.6315789473684212
24528E7A,CE2,9,1436.3899999999999,102.59928571428573,47,2.35
26F8991A,CM2,33,5325.483,123.84844186046512,85,2.5
2846F156,3ème,26,1777.874,61.306,71,2.730769230769231
28DDBC0F,5ème,14,3173.219,109.42134482758621,56,2.6666666666666665
2B7F5D94,6ème,1,857.2840000000001,428.64200000000005,3,3.0
2BE7A494,5ème,22,4875.493,84.06022413793103,57,2.590909090909091
2BE7A535,5ème,30,5424.679,68.66682278481012,86,2.8666666666666667
2D1BF889,3ème,15,2308.078,144.254875,38,2.533333333333333
2D413CC,5ème,45,3816.397,47.7049625,134,2.977777777777778
2D413EA,5ème,45,5729.0689999999995,70.72924691358025,123,2.7333333333333334
2D63A01B,3ème,9,459.338,51.03755555555556,25,2.7777777777777777
2D63A05C,3ème,9,650.432,65.0432,26,2.888888888888889
2D63A05D,3ème,5,449.675,89.935,15,3.0
2DC053B,6ème,3,42.242000000000004,14.080666666666666,9,3.0
2E755148,5ème,9,412.217,45.80188888888889,27,3.0
2E755186,5ème,13,1643.371,78.25576190476191,39,3.0
2F03B6D9,5ème,31,4902.4619999999995,65.36616000000001,90,2.5
2F229072,6ème,21,1063.0249999999999,40.885576923076925,62,2.9523809523809526
2F885927,3ème,12,1073.761,63.16241176470588,31,2.5833333333333335
2FADF714,4ème,6,276.239,46.03983333333333,13,2.1666666666666665
30195948,5ème,31,3485.4849999999997,68.3428431372549,82,2.6451612903225805
30195B14,5ème,32,3529.376,51.90258823529412,90,2.8125
30195B31,5ème,27,4779.1359999999995,85.34171428571429,65,2.4074074074074074
30319DB1,3ème,30,3017.165,59.16009803921568,82,2.7333333333333334
30884D87,5ème,24,4019.493,62.804578125,60,2.5
31CA21A,CE1,6,303.62,50.60333333333333,13,2.1666666666666665
3238A872,3ème,47,3847.165,51.98871621621622,139,2.9574468085106385
327BF5B1,4ème,12,592.0150000000001,49.334583333333335,24,2.0
338B1650,3ème,27,3325.967,60.47212727272728,73,2.7037037037037037
3463C174,4ème,14,1407.9950000000001,67.04738095238095,39,2.7857142857142856
3463C175,4ème,18,1713.316,65.89676923076924,53,2.9444444444444446
349784B6,5ème,34,6470.04,61.03811320754717,101,2.9705882352941178
3497853C,5ème,29,4430.298000000001,57.53633766233766,82,2.8275862068965516
34F0DE17,4ème,2,18.036,9.018,6,3.0
351A5FB9,4ème,27,2569.96,67.63052631578948,71,2.6296296296296298
351A6013,4ème,27,2419.498,75.6093125,71,2.6296296296296298
351A6019,4ème,27,1828.836,45.7209,78,2.888888888888889
352C493D,5ème,11,2359.63,214.5118181818182,18,1.5
352C493F,5ème,15,3968.602,110.23894444444444,52,2.6
352C49A3,5ème,25,4935.189,86.58226315789474,78,2.3636363636363638
354C1729,4ème,18,1988.9569999999999,73.66507407407407,54,3.0
35737805,4ème,9,582.371,52.94281818181818,25,2.7777777777777777
37510270,4ème,25,2125.0499999999997,39.35277777777778,90,2.903225806451613
3751028E,4ème,31,3189.4490000000005,45.56355714285714,101,2.8857142857142857
3751032E,4ème,25,3808.2680000000005,65.65979310344828,90,2.903225806451613
3751032F,4ème,26,5068.907,90.51619642857143,86,2.774193548387097
376582EE,5ème,32,3785.5389999999998,47.918215189873415,92,2.875
377D1EF,3ème,12,1738.7410000000002,91.51268421052632,22,1.8333333333333333
37A4C159,3ème,29,3559.4339999999997,69.79282352941176,86,2.9655172413793105
382B723D,4ème,18,1001.7850000000001,45.535681818181814,51,2.8333333333333335
382BFECC,4ème,22,3215.558,74.78041860465116,61,2.772727272727273
38601F4D,3ème,32,2603.326,59.1665,86,2.6875
39388431,5ème,16,4053.7540000000004,90.08342222222223,61,2.772727272727273
3AAE9587,4ème,3,62.95700000000001,20.985666666666667,9,3.0
3BCEEF13,5ème,8,325.127,36.12522222222222,24,3.0
3C068311,5ème,32,4826.022000000001,61.872076923076925,100,2.857142857142857
3DC064DC,3ème,35,4148.646,64.82259375,89,2.5428571428571427
3E796839,4ème,5,155.547,31.1094,15,3.0
3EA62C,CE1,3,38.114000000000004,12.704666666666668,9,3.0
3F724D1,5ème,9,554.366,50.39690909090909,24,2.6666666666666665
421EEE89,Master2,38,3601.397,73.49789795918367,106,2.789473684210526
43F1B20F,3ème,31,3100.8230000000003,88.59494285714285,83,2.6774193548387095
4507CD3,4ème,23,2438.877,62.53530769230769,64,2.782608695652174
4507D12,4ème,21,1460.459,52.15925,60,2.857142857142857
4507D92,4ème,17,1820.819,44.41021951219512,49,2.8823529411764706
462B246B,4ème,8,285.889,35.736125,22,2.75
46821BD0,5ème,37,4779.812,59.74765,125,2.9069767441860463
46AA8B02,4ème,13,1046.62,80.50923076923078,37,2.8461538461538463
47EBD5A2,3ème,30,2901.791,42.05494202898551,89,2.966666666666667
4822FB95,5ème,31,3809.413,34.012616071428575,91,2.935483870967742
4822FB96,5ème,7,486.637,69.51957142857142,18,2.5714285714285716
498BB0E4,3ème,36,3933.8990000000003,65.56498333333333,98,2.7222222222222223
49A08AC6,5ème,4,159.19,31.838,12,3.0
4A2294F4,5ème,33,4917.441,71.26726086956522,88,2.6666666666666665
4A4249BE,3ème,14,1268.751,90.62507142857143,35,2.5
4A56044B,4ème,16,1412.727,56.509080000000004,46,2.875
4A5604AE,4ème,17,1610.155,73.18886363636364,44,2.588235294117647
4A9701B6,5ème,8,689.244,53.01876923076923,22,2.75
4D35EB6B,5ème,25,5882.064,84.02948571428571,93,2.90625
4D35EB6D,5ème,24,2406.191,68.74831428571429,101,2.8055555555555554
4F2B0C7E,4ème,30,2270.6530000000002,54.063166666666675,89,2.966666666666667
4F36190,3ème,26,2371.9970000000003,71.87869696969696,60,2.3076923076923075
4FAE63E7,3ème,36,4155.371000000001,101.35051219512195,97,2.6944444444444446
4FEA3A5B,4ème,5,105.358,21.0716,15,3.0
4FEA3BE3,4ème,29,1974.404,49.3601,83,2.8620689655172415
4FFDF042,4ème,15,1850.667,88.127,42,2.8
50351401,4ème,19,1001.113,40.04452,52,2.736842105263158
52D22C4A,3ème,18,1547.608,53.365793103448276,48,2.6666666666666665
52FE13BB,5ème,2,642.045,321.0225,6,3.0
532ED412,CM2,1,100.397,100.397,3,3.0
5481881,5ème,8,1017.095,63.5684375,23,2.875
550A1C5A,4ème,8,437.658,54.70725,17,2.125
57201827,CM2,25,2787.4990000000003,69.68747499999999,68,2.72
59B6B585,5ème,34,6933.392999999999,57.778275,100,2.9411764705882355
5A613F92,3ème,15,2628.142,125.14961904761904,36,2.4
5A613FF0,3ème,22,2481.827,55.151711111111105,55,2.5
5BBA97EC,5ème,13,1130.968,47.12366666666667,39,3.0
5BBA982B,5ème,10,1179.437,65.52427777777777,21,2.1
5C3418B7,5ème,30,2967.53,52.06192982456141,86,2.8666666666666667
5C3418BD,5ème,32,3365.593,65.99201960784313,87,2.71875
5D8A06A2,Master2,8,263.13599999999997,32.891999999999996,22,2.75
5FDEAEC,3ème,21,1908.54,90.88285714285715,55,2.619047619047619
602C9F6E,5ème,11,1884.7440000000001,99.19705263157896,54,2.8421052631578947
602C9F6F,5ème,37,4329.334999999999,64.61694029850746,105,2.8378378378378377
6099C58B,5ème,30,4223.305,89.85755319148937,83,2.7666666666666666
60D05CD4,3ème,12,1350.536,112.54466666666667,22,1.8333333333333333
61955374,4ème,18,1871.6,62.38666666666667,53,2.9444444444444446
61A90897,4ème,19,1403.583,56.14332,55,2.8947368421052633
61A908D8,4ème,18,2087.6349999999998,53.52910256410257,53,2.9444444444444446
639E5A6A,3ème,21,2758.256,72.58568421052631,47,2.238095238095238
63BFF494,4ème,23,1783.0719999999997,42.454095238095235,68,2.9565217391304346
63EB8382,4ème,25,2711.661,64.56335714285714,89,2.966666666666667
63EBC895,4ème,30,2358.953,51.281586956521735,80,2.6666666666666665
6413B90B,5ème,30,3876.1919999999996,58.73018181818182,86,2.8666666666666667
645CF46,3ème,14,1364.516,85.28225,29,2.0714285714285716
645CF64,3ème,37,3752.9320000000007,54.39031884057971,88,2.3783783783783785
64964994,4ème,25,3761.893,68.39805454545454,78,2.888888888888889
64964A34,4ème,29,3169.4269999999997,55.60398245614035,87,2.9
64AAC914,5ème,31,4916.575,73.38171641791044,91,2.935483870967742
64B91BF5,5ème,7,231.882,33.126,19,2.7142857142857144
655F5BA9,4ème,15,1439.616,47.9872,45,3.0
66A4CCD,6ème,10,973.1809999999999,88.471,30,3.0
66DB6C7C,6ème,14,1343.674,58.42060869565217,9,3.0
67B80616,3ème,38,3645.362,84.77586046511628,101,2.6578947368421053
67DAE78,4ème,13,426.407,32.80053846153846,39,3.0
690CE20D,4ème,18,2508.1530000000002,64.3116153846154,50,2.5
69981E3A,4ème,26,5588.942000000001,114.06004081632653,84,2.8
6D95DA8B,3ème,11,1244.574,113.14309090909092,22,2.0
70B73C08,5ème,8,579.136,72.392,24,3.0
714A4F86,6ème,9,557.9449999999999,55.79449999999999,25,2.7777777777777777
726AE1C2,3ème,21,2680.3459999999995,86.46277419354838,43,2.0476190476190474
72A08E9,4ème,29,3597.964,81.77190909090909,86,2.9655172413793105
72B2894D,3ème,13,1315.164,62.62685714285714,26,2.0
73C43ABB,5ème,14,1670.464,92.80355555555555,38,2.7142857142857144
73DBED2,4ème,26,3435.1279999999997,50.51658823529412,87,2.9
7471ED49,3ème,30,2985.035,55.27842592592592,85,2.8333333333333335
74B43CDB,4ème,30,4639.086,84.34701818181819,82,2.7333333333333334
75699A4E,5ème,5,110.06,18.343333333333334,15,3.0
75D736DF,5ème,8,288.65900000000005,36.082375,21,2.625
778790C3,3ème,26,1266.8870000000002,31.672175,78,3.0
779B4BF3,4ème,10,712.652,59.38766666666667,25,2.5
779B4C38,4ème,27,2207.5280000000002,53.84214634146341,79,2.925925925925926
7812CE7D,3ème,17,1501.9630000000002,65.30273913043479,47,2.764705882352941
785AE2E,4ème,9,446.318,40.574363636363636,26,2.888888888888889
78D9FF85,3ème,30,2986.232,48.165032258064514,88,2.933333333333333
792EA69C,5ème,23,3117.625,69.28055555555555,62,2.6956521739130435
79B2AA68,4ème,9,1659.567,103.7229375,25,2.7777777777777777
79B2AA82,4ème,3,214.46,53.615,9,3.0
79B2AAA7,4ème,7,411.171,58.73871428571429,21,3.0
